#gene_id	gene_symbol	rank	score	hpo_implicated	hpo_description_implicated	phenotype_specificity
3845	KRAS	1	7.55	[{'HP:0011723': 0.1}, {'HP:0000540': 0.3}, {'HP:0000347': 0.5}, {'HP:0000819': 0.5}, {'HP:0001629': 0.7}, {'HP:0001508': 0.6}, {'HP:0000343': 0.4}, {'HP:0000369': 0.7}, {'HP:0000476': 0.6}, {'HP:0001195': 0.3}, {'HP:0001328': 0.6}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.3}, {'Micrognathia': 0.5}, {'Diabetes mellitus': 0.5}, {'Ventricular septal defect': 0.7}, {'Failure to thrive': 0.6}, {'Long philtrum': 0.4}, {'Low-set ears': 0.7}, {'Cystic hygroma': 0.6}, {'Single umbilical artery': 0.3}, {'Specific learning disability': 0.6}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
673	BRAF	2	6.44	[{'HP:0011723': 0.1}, {'HP:0000540': 0.2}, {'HP:0000347': 0.4}, {'HP:0000819': 0.4}, {'HP:0001629': 0.6}, {'HP:0001508': 0.7}, {'HP:0000343': 0.4}, {'HP:0000369': 0.7}, {'HP:0000476': 0.4}, {'HP:0001195': 0.2}, {'HP:0001328': 0.2}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.2}, {'Micrognathia': 0.4}, {'Diabetes mellitus': 0.4}, {'Ventricular septal defect': 0.6}, {'Failure to thrive': 0.7}, {'Long philtrum': 0.4}, {'Low-set ears': 0.7}, {'Cystic hygroma': 0.4}, {'Single umbilical artery': 0.2}, {'Specific learning disability': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
5781	PTPN11	3	6.17	[{'HP:0011723': 0.1}, {'HP:0000540': 0.2}, {'HP:0000347': 0.6}, {'HP:0001629': 0.8}, {'HP:0001508': 0.6}, {'HP:0000343': 0.1}, {'HP:0000369': 0.7}, {'HP:0000476': 0.7}, {'HP:0001195': 0.1}, {'HP:0001328': 0.5}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.2}, {'Micrognathia': 0.6}, {'Ventricular septal defect': 0.8}, {'Failure to thrive': 0.6}, {'Long philtrum': 0.1}, {'Low-set ears': 0.7}, {'Cystic hygroma': 0.7}, {'Single umbilical artery': 0.1}, {'Specific learning disability': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
4000	LMNA	4	5.98	[{'HP:0011723': 0.3}, {'HP:0000540': 0.1}, {'HP:0000347': 0.7}, {'HP:0000819': 0.8}, {'HP:0001629': 0.3}, {'HP:0001508': 0.6}, {'HP:0000369': 0.4}, {'HP:0000476': 0.2}, {'HP:0001195': 0.1}, {'HP:0001328': 0.1}]	[{'Congenital malformation of the right heart': 0.3}, {'Hypermetropia': 0.1}, {'Micrognathia': 0.7}, {'Diabetes mellitus': 0.8}, {'Ventricular septal defect': 0.3}, {'Failure to thrive': 0.6}, {'Low-set ears': 0.4}, {'Cystic hygroma': 0.2}, {'Single umbilical artery': 0.1}, {'Specific learning disability': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2263	FGFR2	5	5.63	[{'HP:0000540': 0.2}, {'HP:0000347': 0.8}, {'HP:0001629': 0.7}, {'HP:0000343': 0.5}, {'HP:0000369': 0.8}, {'HP:0000476': 0.2}, {'HP:0001195': 0.4}, {'HP:0001328': 0.1}]	[{'Hypermetropia': 0.2}, {'Micrognathia': 0.8}, {'Ventricular septal defect': 0.7}, {'Long philtrum': 0.5}, {'Low-set ears': 0.8}, {'Cystic hygroma': 0.2}, {'Single umbilical artery': 0.4}, {'Specific learning disability': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
3265	HRAS	6	5.55	[{'HP:0011723': 0.2}, {'HP:0000540': 0.1}, {'HP:0000347': 0.5}, {'HP:0001629': 0.7}, {'HP:0001508': 0.9}, {'HP:0000343': 0.5}, {'HP:0000369': 0.6}, {'HP:0000476': 0.1}, {'HP:0001195': 0.1}, {'HP:0001328': 0.2}]	[{'Congenital malformation of the right heart': 0.2}, {'Hypermetropia': 0.1}, {'Micrognathia': 0.5}, {'Ventricular septal defect': 0.7}, {'Failure to thrive': 0.9}, {'Long philtrum': 0.5}, {'Low-set ears': 0.6}, {'Cystic hygroma': 0.1}, {'Single umbilical artery': 0.1}, {'Specific learning disability': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2260	FGFR1	7	5.28	[{'HP:0011723': 0.2}, {'HP:0000540': 0.2}, {'HP:0000347': 0.4}, {'HP:0000819': 0.4}, {'HP:0001629': 0.3}, {'HP:0001508': 0.4}, {'HP:0000343': 0.5}, {'HP:0000369': 0.5}, {'HP:0000476': 0.3}, {'HP:0001328': 0.3}]	[{'Congenital malformation of the right heart': 0.2}, {'Hypermetropia': 0.2}, {'Micrognathia': 0.4}, {'Diabetes mellitus': 0.4}, {'Ventricular septal defect': 0.3}, {'Failure to thrive': 0.4}, {'Long philtrum': 0.5}, {'Low-set ears': 0.5}, {'Cystic hygroma': 0.3}, {'Specific learning disability': 0.3}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
4893	NRAS	8	5.18	[{'HP:0011723': 0.1}, {'HP:0000540': 0.2}, {'HP:0000347': 0.4}, {'HP:0001629': 0.3}, {'HP:0001508': 0.3}, {'HP:0000343': 0.6}, {'HP:0000369': 0.7}, {'HP:0000476': 0.3}, {'HP:0001195': 0.5}, {'HP:0001328': 0.5}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.2}, {'Micrognathia': 0.4}, {'Ventricular septal defect': 0.3}, {'Failure to thrive': 0.3}, {'Long philtrum': 0.6}, {'Low-set ears': 0.7}, {'Cystic hygroma': 0.3}, {'Single umbilical artery': 0.5}, {'Specific learning disability': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
6899	TBX1	9	4.94	[{'HP:0011723': 0.4}, {'HP:0000540': 0.1}, {'HP:0000347': 0.4}, {'HP:0001629': 0.7}, {'HP:0001508': 0.2}, {'HP:0000343': 0.3}, {'HP:0000369': 0.5}, {'HP:0000476': 0.2}, {'HP:0001328': 0.7}]	[{'Congenital malformation of the right heart': 0.4}, {'Hypermetropia': 0.1}, {'Micrognathia': 0.4}, {'Ventricular septal defect': 0.7}, {'Failure to thrive': 0.2}, {'Long philtrum': 0.3}, {'Low-set ears': 0.5}, {'Cystic hygroma': 0.2}, {'Specific learning disability': 0.7}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2261	FGFR3	10	4.52	[{'HP:0011723': 0.1}, {'HP:0000540': 0.3}, {'HP:0000347': 0.5}, {'HP:0001629': 0.2}, {'HP:0001508': 0.2}, {'HP:0000343': 0.3}, {'HP:0000369': 0.5}, {'HP:0000476': 0.3}, {'HP:0001195': 0.3}, {'HP:0001328': 0.2}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.3}, {'Micrognathia': 0.5}, {'Ventricular septal defect': 0.2}, {'Failure to thrive': 0.2}, {'Long philtrum': 0.3}, {'Low-set ears': 0.5}, {'Cystic hygroma': 0.3}, {'Single umbilical artery': 0.3}, {'Specific learning disability': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
